Location Name,Province/Territory,Location Mapped Centre
Townsend,British Columbia,PacificSport - Fraser Valley
Traders Cove,British Columbia,PacificSport - Okanagan
Trafalgar,British Columbia,PacificSport - Fraser Valley
Trail,British Columbia,PacificSport - Columbia Basin
Tranquille,British Columbia,PacificSport - Interior
Tremblay,British Columbia,Engage Sport North
Trembleur,British Columbia,Engage Sport North
Trinity Valley,British Columbia,PacificSport - Okanagan
Troup,British Columbia,PacificSport - Columbia Basin
Trout Creek,British Columbia,PacificSport - Okanagan
Trout Lake,British Columbia,PacificSport - Columbia Basin
Trutch,British Columbia,Engage Sport North
Ts'axq'oo-is,British Columbia,PacificSport - Vancouver Island
Ts'iispoo-a,British Columbia,PacificSport - Vancouver Island
Tsawwassen,British Columbia,CSI Pacific - Vancouver
Tsawwassen Beach,British Columbia,CSI Pacific - Vancouver
Tsay Keh Dene,British Columbia,Engage Sport North
Tucks,British Columbia,CSI Pacific - Vancouver
Tulameen,British Columbia,PacificSport - Okanagan
Tulsequah,British Columbia,Engage Sport North
Tumbler Ridge,British Columbia,Engage Sport North
Tupper,British Columbia,Engage Sport North
Turtle Valley,British Columbia,PacificSport - Interior
Tuwanek,British Columbia,CSI Pacific - Vancouver
Tuxwnech,British Columbia,PacificSport - Vancouver Island
Twidwell Bend,British Columbia,Engage Sport North
Twin Butte,British Columbia,PacificSport - Okanagan
Twin Creeks,British Columbia,CSI Pacific - Vancouver
Twin Islands,British Columbia,CSI Pacific - Vancouver
Two Mile,British Columbia,Engage Sport North
Two Rivers,British Columbia,Engage Sport North
Tye,British Columbia,PacificSport - Columbia Basin
Tyee,British Columbia,Engage Sport North
Tynehead,British Columbia,PacificSport - Fraser Valley
Tzouhalem,British Columbia,CSI Pacific - Victoria
Ucluelet,British Columbia,PacificSport - Vancouver Island
Ulkatcho,British Columbia,Engage Sport North
Union Bay,British Columbia,PacificSport - Vancouver Island
University Hill,British Columbia,CSI Pacific - Vancouver
Upper China Creek,British Columbia,PacificSport - Columbia Basin
Upper Cutbank,British Columbia,Engage Sport North
Upper Fraser,British Columbia,Engage Sport North
Upper Halfway,British Columbia,Engage Sport North
Upper Lynn,British Columbia,CSI Pacific - Vancouver
Upsowis,British Columbia,PacificSport - Vancouver Island
Urling,British Columbia,Engage Sport North
Urquhart,British Columbia,Engage Sport North
Usk,British Columbia,Engage Sport North
Uuts,British Columbia,PacificSport - Vancouver Island
Valemount,British Columbia,PacificSport - Interior
Valley View,British Columbia,Engage Sport North
Valleycliffe,British Columbia,CSI Pacific - Whistler
Valleyview,British Columbia,PacificSport - Interior
Vallican,British Columbia,PacificSport - Columbia Basin
Van Anda,British Columbia,PacificSport - Vancouver Island
Vancouver,British Columbia,CSI Pacific - Vancouver
Vanderhoof,British Columbia,Engage Sport North
Vanway,British Columbia,Engage Sport North
Vaucroft Beach,British Columbia,PacificSport - Vancouver Island
Vavenby,British Columbia,PacificSport - Interior
Vedder Crossing,British Columbia,PacificSport - Fraser Valley
Vermilion Crossing,British Columbia,PacificSport - Columbia Basin
Vernon,British Columbia,PacificSport - Okanagan
Vesuvius,British Columbia,CSI Pacific - Victoria
Victoria,British Columbia,CSI Pacific - Victoria
Victoria-Fraserview,British Columbia,CSI Pacific - Vancouver
Vidette,British Columbia,PacificSport - Interior
View Royal,British Columbia,CSI Pacific - Victoria
Village Bay,British Columbia,CSI Pacific - Vancouver
Village of Daajing Giids,British Columbia,Engage Sport North
Vinsulla,British Columbia,PacificSport - Interior
Von Zuben,British Columbia,PacificSport - Interior
Vye,British Columbia,PacificSport - Fraser Valley
W'aayi,British Columbia,PacificSport - Vancouver Island
Wabi,British Columbia,Engage Sport North
Wabron,British Columbia,PacificSport - Interior
Wadhams,British Columbia,PacificSport - Vancouver Island
Waglisla,British Columbia,PacificSport - Vancouver Island
Wagner Ranch,British Columbia,Engage Sport North
Wakely,British Columbia,PacificSport - Columbia Basin
Walhachin,British Columbia,PacificSport - Interior
Walker,British Columbia,Engage Sport North
Walkers,British Columbia,PacificSport - Columbia Basin
Walnut Grove,British Columbia,PacificSport - Fraser Valley
Waneta,British Columbia,PacificSport - Columbia Basin
Waneta Junction,British Columbia,PacificSport - Columbia Basin
Wanklyn,British Columbia,PacificSport - Columbia Basin
Wardner,British Columbia,PacificSport - Columbia Basin
Ware,British Columbia,Engage Sport North
Warfield,British Columbia,PacificSport - Columbia Basin
Warner Bay,British Columbia,PacificSport - Vancouver Island
Wasa,British Columbia,PacificSport - Columbia Basin
Watson,British Columbia,Engage Sport North
Watson Island,British Columbia,Engage Sport North
Websters Corners,British Columbia,PacificSport - Fraser Valley
Wedeene,British Columbia,Engage Sport North
Wedge,British Columbia,CSI Pacific - Whistler
Wedgwood,British Columbia,Engage Sport North
Weewanie,British Columbia,Engage Sport North
Welcome Beach,British Columbia,CSI Pacific - Vancouver
Wellington,British Columbia,PacificSport - Vancouver Island
Wells,British Columbia,Engage Sport North
Weneez,British Columbia,Engage Sport North
West Bay,British Columbia,CSI Pacific - Vancouver
West Bench,British Columbia,PacificSport - Okanagan
West End,British Columbia,CSI Pacific - Vancouver
West Heights,British Columbia,PacificSport - Fraser Valley
West Landing,British Columbia,Engage Sport North
West Lynn,British Columbia,CSI Pacific - Vancouver
West Midway,British Columbia,PacificSport - Okanagan
West Point Grey,British Columbia,CSI Pacific - Vancouver
West Trail,British Columbia,PacificSport - Columbia Basin
West Vancouver,British Columbia,CSI Pacific - Vancouver
Westbank,British Columbia,PacificSport - Okanagan
Westbridge,British Columbia,PacificSport - Okanagan
Westholme,British Columbia,CSI Pacific - Victoria
Westley,British Columbia,PacificSport - Columbia Basin
Westmount,British Columbia,CSI Pacific - Vancouver
Westply,British Columbia,Engage Sport North
Westridge,British Columbia,CSI Pacific - Vancouver
Westside,British Columbia,PacificSport - Okanagan
Westsyde,British Columbia,PacificSport - Interior
Westview,British Columbia,PacificSport - Vancouver Island
Westwold,British Columbia,PacificSport - Interior
Wet'suwet'en Village,British Columbia,Engage Sport North
Whaletown,British Columbia,PacificSport - Vancouver Island
Whalley,British Columbia,PacificSport - Fraser Valley
Whisky Creek,British Columbia,PacificSport - Vancouver Island
Whistler,British Columbia,CSI Pacific - Whistler
Whistler Creek,British Columbia,CSI Pacific - Whistler
White Lake,British Columbia,PacificSport - Interior
White Pass,British Columbia,Engage Sport North
White Rock,British Columbia,PacificSport - Fraser Valley
Whonnock,British Columbia,PacificSport - Fraser Valley
Whyac,British Columbia,PacificSport - Vancouver Island
Whytecliff,British Columbia,CSI Pacific - Vancouver
Wigwam Inn,British Columbia,CSI Pacific - Vancouver
Wihat'a,British Columbia,PacificSport - Vancouver Island
Wii Lax K'ap,British Columbia,Engage Sport North
Wildwood,British Columbia,PacificSport - Vancouver Island
Wiley,British Columbia,Engage Sport North
Williams Beach,British Columbia,PacificSport - Vancouver Island
Williams Lake,British Columbia,Engage Sport North
Williams Landing,British Columbia,PacificSport - Fraser Valley
Williamsons Landing,British Columbia,CSI Pacific - Vancouver
Willingdon Heights,British Columbia,CSI Pacific - Vancouver
Willow Point,British Columbia,PacificSport - Columbia Basin
Willow River,British Columbia,Engage Sport North
Willow Valley,British Columbia,Engage Sport North
Willowbrook,British Columbia,PacificSport - Okanagan
Willowvale,British Columbia,Engage Sport North
Wilmer,British Columbia,PacificSport - Columbia Basin
Wilson Landing,British Columbia,PacificSport - Okanagan
Windermere,British Columbia,PacificSport - Columbia Basin
Windsor Park,British Columbia,CSI Pacific - Vancouver
Windy,British Columbia,Engage Sport North
Winfield,British Columbia,PacificSport - Okanagan
Wingdam,British Columbia,Engage Sport North
Winlaw,British Columbia,PacificSport - Columbia Basin
Winter Harbour,British Columbia,PacificSport - Vancouver Island
Wistaria,British Columbia,Engage Sport North
Wolfenden,British Columbia,PacificSport - Interior
Wolverine,British Columbia,Engage Sport North
Wonowon,British Columbia,Engage Sport North
Woodcock,British Columbia,Engage Sport North
Woodfibre,British Columbia,CSI Pacific - Whistler
Woodhaven,British Columbia,CSI Pacific - Vancouver
Woodlands,British Columbia,CSI Pacific - Vancouver
Woodmere,British Columbia,Engage Sport North
Woodpecker,British Columbia,Engage Sport North
Woods Landing,British Columbia,PacificSport - Interior
Woodsdale,British Columbia,PacificSport - Okanagan
Woodwards Landing,British Columbia,CSI Pacific - Vancouver
Worth,British Columbia,Engage Sport North
Woss,British Columbia,PacificSport - Vancouver Island
Wright,British Columbia,PacificSport - Interior
Wycliffe,British Columbia,PacificSport - Columbia Basin
Wyman,British Columbia,CSI Pacific - Vancouver
Wynndel,British Columbia,PacificSport - Columbia Basin
Xeni,British Columbia,CSI Pacific - Whistler
Ya:kats,British Columbia,PacificSport - Vancouver Island
Yaashitquo-a,British Columbia,PacificSport - Vancouver Island
Yaculta,British Columbia,PacificSport - Vancouver Island
Yahk,British Columbia,PacificSport - Columbia Basin
Yaku,British Columbia,Engage Sport North
Yale,British Columbia,PacificSport - Fraser Valley
Yankee Flats,British Columbia,PacificSport - Interior
Yarksis,British Columbia,PacificSport - Vancouver Island
Yarrow,British Columbia,PacificSport - Fraser Valley
Yekooche,British Columbia,Engage Sport North
Yellowhead,British Columbia,PacificSport - Interior
Yennadon,British Columbia,PacificSport - Fraser Valley
Ymir,British Columbia,PacificSport - Columbia Basin
Yoho,British Columbia,PacificSport - Columbia Basin
Youbou,British Columbia,PacificSport - Vancouver Island
Yreka,British Columbia,PacificSport - Vancouver Island
Yuquot,British Columbia,PacificSport - Vancouver Island
Yuuhluth,British Columbia,PacificSport - Vancouver Island
Zamora,British Columbia,PacificSport - Okanagan
Zeballos,British Columbia,PacificSport - Vancouver Island
Zeke,British Columbia,Engage Sport North
Zincton,British Columbia,PacificSport - Columbia Basin
